"Item Name","Quantity","Cost Price","Selling Price","Expected Profit"
"2B Benzyl Benzoate","9","35.00","28.00","-63.00"
"3Fer Syrup","10","0.00","17.00","170.00"
"3p Garlic Mixture","52","41.00","43.00","104.00"
"Aba pa balm","50","10.00","12.00","100.00"
"Aba pa oint","50","10.00","12.00","100.00"
"Abapa Amo Man","10","45.00","45.00","0.00"
"Abapa Amo Woman","10","45.00","45.00","0.00"
"ABAPA CAPS","133","25.00","27.00","266.00"
"ABAPA MIXTURE","91","20.00","22.00","182.00"
"Abicof Syrup (Adult)","10","15.00","0.00","-150.00"
"Abicof Syrup (Junior)","10","15.00","0.00","-150.00"
"Abidec drop","11","105.00","120.00","165.00"
"abondonkoa cream","288","9.00","10.00","288.00"
"Aboniki Balm","437","8.33","10.00","729.79"
"Aboriki ointment","1900","6.50","8.00","2,850.00"
"ABYTONE FORTE CAPS","258","9.69","11.00","337.98"
"Abytone Forte Syr","9","17.00","20.00","27.00"
"Abytone Syrup","66","17.00","20.00","198.00"
"Abytone Tablets","1","4.00","4.00","0.00"
"Abyvita Caps","44","0.00","8.00","352.00"
"Abyvita Syrup","11","17.50","19.00","16.50"
"Abzole tab","40","2.80","3.50","28.00"
"ACTIILIFE CAPS","135","22.00","25.00","405.00"
"Adinkra Herbal Mixture","14","15.00","17.00","28.00"
"Adom Koiplex","10","25.00","25.00","0.00"
"Adom Koo bitters","17","22.00","24.00","34.00"
"Adom Koo Capsules","9","34.00","38.00","36.00"
"ADOM KOO OINT","27","17.00","20.00","81.00"
"Adom W&G Mixture","10","25.00","25.00","0.00"
"adult care cough cold syrup","159","5.50","7.00","238.50"
"Adult Care Night Susp","119","5.50","7.00","178.50"
"Adusa Mixture","10","25.00","25.00","0.00"
"Adutwumwaa Capsules","50","25.00","28.00","150.00"
"Adutwumwaa Herbal Mixture","57","25.00","27.00","114.00"
"ADUTWUMWAAH MALAMIX","30","20.00","23.00","90.00"
"Agbeve tonic","13","22.00","24.00","26.00"
"Agombia Capsules","20","27.00","30.00","60.00"
"AHOMKA HEAT PATCH","100","7.00","8.50","150.00"
"aktif child multivitamine syrup","13","20.00","23.00","39.00"
"akwantuo herbal mix","105","22.00","24.00","210.00"
"akwantuol koo mix","10","22.00","24.00","20.00"
"ALAFIA BITTS","19","19.00","22.00","57.00"
"Albendazole Suspension(Tobinco)","10","10.00","10.00","0.00"
"Aluminium Hydroxide Tablets(Letap)","1300","0.69","0.80","143.00"
"Alusil Plus Suspension","206","3.45","4.50","216.30"
"Alva One Capsules","888","16.00","18.00","1,776.00"
"Alva One Herbal Mixture","1869","16.00","18.00","3,738.00"
"Alvite Tablets","10","20.00","0.00","-200.00"
"amcof adult salom","20","0.00","16.00","320.00"
"amcof baby","18","11.00","14.00","54.00"
"Aminopep syr","9","40.51","44.00","31.41"
"Amitriptylin 25 mg tab","89","6.00","7.00","89.00"
"Amlodipine 10mg(teva)","41","13.80","16.00","90.20"
"AMLONOVA 10MG TAB","71","6.00","8.00","142.00"
"Amodiaquine Syrup","4854","4.00","4.50","2,427.00"
"Amoksiklav 625 tab orlginal","20","45.00","52.00","140.00"
"Amoxacillin 250MG Caps (5K)","450","1.90","2.30","180.00"
"Amoxacillin Caps Letap MMD","335","2.13","2.40","90.45"
"Amoxacillin Capsules(250mg) Letap","2170","1.94","2.40","998.20"
"Amoxacillin Capsules(500mg) Eskay","50","11.00","13.00","100.00"
"Amoxacillin Susp (Letap)","335","3.74","5.00","422.10"
"Amoxacillin125mg susp(luex)","103","12.00","14.00","206.00"
"amoxiclav ing 1.2g","7","0.00","22.00","154.00"
"Amoxiclav 228.5 susp luex","30","24.00","27.00","90.00"
"Amoxiclav 625(Kataclav)","413","28.00","35.00","2,891.00"
"AMOXICLAV SUSP 228.5(MOON PHARMACY)","17","20.00","25.00","85.00"
"amoxiclav susp 457(moon pharmacy)","4","25.00","28.00","12.00"
"AMOXIKLAV 457 orignal","998","0.00","50.00","49,900.00"
"AMPICILINE CAPS (250mg) Letap","125","2.00","2.40","50.00"
"Ampicillin suspension","38","3.51","6.00","94.62"
"Ampiclox Capsules","200","3.45","4.20","150.00"
"Amuzu Garlic Mixture","30","35.00","39.00","120.00"
"Amuzu K Herbal Mixture","2","25.00","25.00","0.00"
"Amuzu Pee mixture","64","32.00","34.00","128.00"
"Anafenac-P","220","0.00","2.00","440.00"
"Anaferrous-Z","120","16.00","18.00","240.00"
"Analin Cough Syrip","10","15.00","0.00","-150.00"
"ANAMOX DROP","10","0.00","40.00","400.00"
"Anatamin Syrup","115","18.80","22.00","368.00"
"Andydol Forte","270","0.00","6.50","1,755.00"
"Andydol Forte caps","200","6.00","6.50","100.00"
"Andyvita Syr 200ml","1017","16.50","18.00","1,525.50"
"Antacid Plus Suspension(luex)","10","25.00","0.00","-250.00"
"Antacid Suspension (Entrance)","10","20.00","0.00","-200.00"
"Antasil Tablets","200","0.00","1.10","220.00"
"ANUSOL OINT","12","0.00","75.00","900.00"
"ANUSOL SUPP","84","6.00","7.00","84.00"
"APC Tablet","130","2.00","2.50","65.00"
"Apetabon Syrup","10","30.00","0.00","-300.00"
"Apetamin Syrup","23","25.00","37.00","276.00"
"Apetatrust syr 100ml","1225","14.90","16.00","1,347.50"
"Apetatrust syr 200ml","41","23.00","26.00","123.00"
"Apetatrust Tablet","93","0.00","9.00","837.00"
"apeti syrup geo","24","27.00","29.00","48.00"
"Apeti Syrup(GML)","78","0.00","28.00","2,184.00"
"AQUATABS TAB","157","4.50","5.50","157.00"
"Arauclav 228.5","48","19.00","22.00","144.00"
"Arauclav 228.5 susp","1","20.00","24.00","4.00"
"Arauclav 625 tab","54","25.00","30.00","270.00"
"Arfan 20/120mg Tablets","642","3.60","4.40","513.60"
"ARFAN SUSP","292","4.41","6.00","464.28"
"arfan80/480","807","4.00","5.00","807.00"
"ARFEN 80/480 TAB","694","4.00","5.00","694.00"
"Artaet Suspension","10","25.00","0.00","-250.00"
"Arthemeter Inj( moon pharmacy)","18","1.50","2.00","9.00"
"Arthemether inj(Roxin Ghana)","1200","1.60","2.20","720.00"
"Artket susp","431","9.00","10.00","431.00"
"Artket Suspension","8","15.00","0.00","-120.00"
"ARTON PARA CAPLETS","14","0.00","5.00","70.00"
"Ascorbic Syrup (Letap)","47","2.96","4.50","72.38"
"ASCORYL SYRUP","30","9.60","11.00","42.00"
"ASCOVITE CEE SYRUP","60","11.80","14.00","132.00"
"Asmanol tablet","8739","1.36","1.60","2,097.36"
"Asnac 100mg caps","0","0.00","0.00","0.00"
"Asnac 75mg caps","44","10.00","15.00","220.00"
"Aspicof baby","27","8.00","10.00","54.00"
"Aspidine Syrup","10","0.00","17.00","170.00"
"Aspitone Syrup","0","14.00","16.00","0.00"
"ASPRIN","3000","0.00","1.50","4,500.00"
"ASTRODOL P TAB","117","6.50","7.50","117.00"
"Astymin-C Drop","10","25.00","0.00","-250.00"
"atorvastastin 10mg tab tava","20","15.80","18.00","44.00"
"Atorvastastin 20mg tab (NOVASTAT)","45","8.00","11.00","135.00"
"atorvastastin 20mg tab tava","9","18.72","25.00","56.52"
"ATS Inj","1405","0.00","8.00","11,240.00"
"atwood bitts","13","90.00","95.00","65.00"
"Auntie Mary Gripe Water","53","19.80","22.00","116.60"
"AYA MOUTHWASH","50","20.00","25.00","250.00"
"AYA ORAL CARE","23","33.00","37.00","92.00"
"AYRTON MULTIVITAMINE SYRUP","113","11.80","13.00","135.60"
"azithromycin tab 500mg (moon pharma)","190","13.00","16.00","570.00"
"B CLAR 500MG TAB","8","39.40","45.00","44.80"
"Baby Cough Linctus","17","10.80","12.00","20.40"
"BABY COUGH LINCTUS (ECL)","111","9.00","12.00","333.00"
"BABYVITE 100ML SYR","10","0.00","16.00","160.00"
"Babyvite Drop","75","23.00","27.00","300.00"
"Babyvite Syr 200ml","22","22.90","26.00","68.20"
"BAD BOY LUBRICANT","96","33.00","35.00","192.00"
"Badruf Cream","297","11.25","13.00","519.75"
"Bafan Herbal Mixture","1","22.00","22.00","0.00"
"base vita plus tab","73","4.00","4.50","36.50"
"Basecold Syrup","10","15.00","0.00","-150.00"
"Basecold Tablets","9","5.30","5.80","4.50"
"Baseline Adult Cougn Syr","49","10.00","12.00","98.00"
"Baseline Jnr Cougn Syr","55","10.00","12.00","110.00"
"Beclogen Cream","169","6.80","8.00","202.80"
"BECOACTIN SYRUP","76","17.00","20.00","228.00"
"BECOACTIN TAB","39","17.00","20.00","117.00"
"Bedikof Baby Syr","65","0.00","12.00","780.00"
"Bedither Forte Tablets","30","0.00","11.00","330.00"
"Bella cough syr 125ml","10","15.10","17.00","19.00"
"Bells Teething Mixture","10","40.00","0.00","-400.00"
"BENDROFLUAZIDE TAB","292","2.00","2.50","146.00"
"benylin syr original","12","0.00","100.00","1,200.00"
"Benzathine Inj troge","231","5.00","7.00","462.00"
"Bestman Capsules","10","25.00","0.00","-250.00"
"bg glutamin plus tab","98","22.95","35.00","1,180.90"
"Bibini Toma Plus","10","33.00","35.00","20.00"
"BIO OIL 125ML","10","98.78","95.00","-37.80"
"Bioglobin Syrup","10","0.00","25.00","250.00"
"Bisacodyl Tablets","1026","1.00","1.40","410.40"
"Boafo Ointment","66","8.00","9.00","66.00"
"BONAPLEX SYRUP","101","48.00","50.00","202.00"
